2026-05-09 13:16:48,245 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54173461: 90:25:020103:1370 (building), прав: 2, ограничений объекта: 0
2026-05-09 13:16:48,803 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53836994: 90:25:020103:1378 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:49,421 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53837509: 90:25:020103:1391 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:49,936 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53837866: 90:25:020103:1393 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:51,252 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53833256: 90:25:020103:1463 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:16:51,787 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53831037: 90:25:020103:1466 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:52,537 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53833791: 90:25:020103:1486 (building), прав: 2, ограничений объекта: 0
2026-05-09 13:16:53,070 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53838516: 90:25:020103:1556 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:53,638 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53832812: 90:25:020103:1585 (room), прав: 1, ограничений объекта: 0
2026-05-09 13:16:54,602 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53840354: 90:25:020103:1590 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:16:55,196 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53836518: 90:25:020103:1627 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:55,848 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53835648: 90:25:020103:2803 (structure), прав: 1, ограничений объекта: 0
